power_dBm,sinad_mean_dB,sinad_std_dB,keithley_sinad_mean_dB,keithley_sinad_std_dB,keithley_freq_mean_Hz,keithley_freq_std_Hz
-125.0,1.2912997573976228,0.28530602146685746,0.3064131225421797,0.3257363353547731,955.974025,72.35779641902691
-124.4,1.5888527982722709,0.3045622725658202,0.4614738463444937,0.5774668541114693,985.10229921875,64.42913882097828
-123.8,1.9117140150767642,0.3281039974258359,0.5880695781396406,0.5983309123889832,996.10723671875,63.76784950635376
-123.2,2.2562799169491514,0.3839171525009498,0.6736763975141171,0.8121015542138783,1004.14129453125,60.71214430961963
-122.6,2.6549580871350145,0.3981502415218165,0.8041038385311399,0.8102053620433564,1019.43164140625,61.38670360441019
-122.0,3.2222122995319586,0.4149344126806257,1.0055229315356953,1.1055016897546912,1024.50525078125,49.60667484448759
-121.4,3.6782352713762796,0.4426608255629477,1.081831744738578,1.2252198104800438,1026.1472046875,49.11935138449583
-120.8,3.942692988720405,0.47271117555611436,1.2540040643895312,1.299387517381235,1025.07133359375,48.3130279826911
-120.2,4.429464708978761,0.6154676491781984,1.486423440562461,1.5609152064127747,1023.98259375,38.73886092548039
-119.6,5.03082116338747,0.5477599606599116,1.8364472884767968,1.6088089573979685,1023.22149296875,33.44098476429266
-119.0,5.585801132630266,0.5865082446967015,2.180894931049375,1.93402730098673,1017.7023515625,31.60285504420196
-118.4,6.16148376894134,0.684458569935512,2.699286577469844,1.7996127860564204,1019.6365375,21.76632833089406
-117.8,6.866277087154002,0.7175836766588338,3.491140227695312,2.165614467174544,1016.7916046875,19.67303055472159
-117.2,7.544831721222051,0.6810881115799012,4.0200815382085935,2.169300192526899,1017.06533359375,17.206450877247676
-116.6,8.323927943424387,0.7998483484995205,5.541756176390625,2.4144691453751403,1009.90794609375,13.428686327160444
-116.0,9.092890830489996,0.9584220497258115,6.507595431273438,2.735939153365756,1007.24118828125,11.57251984728816
-115.4,9.85276708998345,0.9405790332266538,7.412862462890625,2.565600525832021,1005.9311671875,8.740075503741995
-114.8,10.874954833963377,0.9929064103536143,9.038557223046876,2.5404862829914485,1002.978846875,7.090879624151648
-114.2,11.841003960853286,1.1167800493427187,10.757763598046877,2.7910531826866465,1001.3852703125,3.9603355764608015
-113.6,13.115234689880344,1.3954522296097152,11.869703718906251,2.918531157476309,1000.75506640625,3.528099542319076
-113.0,14.433662495179686,1.4216666014726385,13.4207874771875,3.393510068009512,1000.3908515625,2.0760361150739426
-112.4,15.701896402467757,1.6545316995329467,15.05928565046875,3.145128740607348,1000.15139765625,1.1554642156580957
-111.8,16.918339822506752,1.8968269683100147,16.2563641384375,3.2290972061911103,1000.2362796875,1.632054488279236
-111.2,18.312946059519206,1.874188973254993,17.745404007890627,2.767089680099812,1000.13818671875,1.2688796851437472
-110.6,19.65019832305164,1.8689047084901818,19.15829404734375,2.637581576672451,1000.15052109375,1.1766802714398128
-110.0,21.073508085844512,1.7532310621106508,20.212182309375,2.6663709188229694,1000.0234875,0.2222594176857305
-109.4,22.27539889935805,1.8327971716922598,21.3370183625,1.940031538472376,1000.02024375,0.1992440093790506
-108.8,23.173910995162643,1.3929496293667092,22.56254570546875,1.8514613609858497,1000.038325,0.1202040121262565
-108.2,24.439139139694603,0.7789826917348259,23.10973217265625,2.116607368906234,1000.05191640625,0.1415640528487364
-107.6,24.86906961161597,1.0169560316489004,23.97921378359375,1.5198689334009536,1000.01089921875,0.1008632548119666
-107.0,25.62899913360357,0.6397034710743377,24.921782785937506,1.1795414904450274,1000.0021078125,0.0928279175825645
-106.4,26.22011742792363,0.608513303798135,25.470935718750003,0.945598085922704,1000.0087875,0.080111479943574
-105.8,26.53433423285609,1.6933889145784937,25.90272842421875,1.036301168686712,1000.00804921875,0.0750714784348223
-105.2,27.072203190715562,0.4760117576574127,26.43052989375,0.8479068866662111,999.9988734375,0.0665945879046039
-104.6,27.462501466695425,0.38637005408868064,26.87367668984375,0.7279707026641071,1000.00316484375,0.0629897444403675
-104.0,27.848064423979224,0.33036393567702427,27.300190863281248,0.6963447335071307,1000.00554453125,0.0614373141001675
-103.4,28.098254320194602,0.3034834006060941,27.494872094531253,0.6455467062442442,1000.008853125,0.0498987019769416
-102.8,28.281121626253718,0.23762226477476664,27.85527962578125,0.5129052325459202,1000.009825,0.0421153364286698
-102.2,28.433774262238494,0.23722043742293564,28.07439421015625,0.4611994311803337,1000.0153171875,0.0412437781470106
-101.6,28.50072745852801,0.21305493176215556,28.21758658515625,0.4082775115439535,1000.014878125,0.0388075760513888
-101.0,28.622395302634025,0.17567311983092498,28.25739754609375,0.3908668583271123,1000.01151015625,0.0349000779902522
-100.4,28.627850049868684,0.1779899068649035,28.382907391406253,0.3544936140204384,1000.00749453125,0.0370274144819483
-99.8,28.679233268195567,0.17481957288535238,28.4721089125,0.2992806028602899,1000.011128125,0.0305527871516584
-99.2,28.663931087425844,0.1480708394595101,28.494146567187503,0.2904768494396347,1000.00728828125,0.0294472638295297
-98.6,28.66687192033281,0.12790091584146815,28.42981030625,0.2946635152450591,1000.00337109375,0.025619713333751
-98.0,28.59960598664635,0.13287246168519087,28.3997804359375,0.2315827323801177,1000.011178125,0.0245929326023639
-97.4,28.573673346414385,0.11229790821707256,28.38399013515625,0.1998918594943761,1000.00836015625,0.0214497899896597
-96.8,28.515448519501028,0.10482089571910266,28.3352736609375,0.1983499000451941,1000.006790625,0.0223384877981737
-96.2,28.448028118012736,0.09822914952822474,28.320725840625,0.1566312231334333,1000.00907421875,0.0201663637265571
-95.6,28.31902949248706,1.1772923978986176,28.265077234375,0.1728960380036757,1000.01143046875,0.0183573450839235
-95.0,28.340975152207424,0.08691138275094401,28.24965385859375,0.1489026716439866,1000.01099921875,0.0166602234758295
