power_dBm,sinad_mean_dB,sinad_std_dB,keithley_sinad_mean_dB,keithley_sinad_std_dB,keithley_freq_mean_Hz,keithley_freq_std_Hz
-125.0,-4.501793783739673,1.0942770586759154,1.1138096708828127,0.44038791471474814,1000.0,0.0
-124.4,-3.6251146774728795,1.0086042491544907,1.2696966275000001,0.45980476015790367,1000.0,0.0
-123.8,-2.5423880992099583,0.9690645364184752,1.5094749175546873,0.5557812527010525,1000.0,0.0
-123.2,-1.48261291598317,0.8609542237281061,1.8569059977734377,0.5771227893797114,1000.0,0.0
-122.6,-0.5506366272187322,0.778535010171132,2.1342868981875,0.6846275101043326,1000.0,0.0
-122.0,0.4733053313920405,0.8739362485310033,2.6564379900781248,0.7797175869768105,1000.0,0.0
-121.4,1.2071611678988525,0.7915912772792785,3.0861580396875,0.8547373257923215,1000.0,0.0
-120.8,1.7685817441524476,0.8365941702040675,3.240598904296875,0.7745313620930808,1000.0,0.0
-120.2,2.7114824511530538,0.8144848213881984,3.80300646921875,0.9557735060840682,1000.0,0.0
-119.6,3.594503928408816,0.7811084095959193,4.260968741484375,1.0531185274707222,1000.0,0.0
-119.0,4.388604050103963,0.7695289727188768,4.773680204375,1.0847364650897884,1000.0,0.0
-118.4,5.160744128235367,0.8410622690657202,5.469302447734375,1.2181223395782839,1000.0,0.0
-117.8,6.008437464758586,0.7973872352453351,5.8184143881249994,1.228927554053095,1000.0,0.0
-117.2,6.834145022689441,0.8484236465786326,6.674211100078124,1.4623414849313976,1000.0,0.0
-116.6,7.754829412982349,0.907386343951176,7.2177032190625,1.4528363384213892,1000.0,0.0
-116.0,8.827939673137067,0.9700735914260523,8.013029933515625,1.46717606469164,1000.0,0.0
-115.4,9.623686939907074,1.2913042771170133,9.317724506015626,1.6859222557548657,1000.0,0.0
-114.8,10.700683972516465,1.1884635187811985,9.925826414687501,2.1090229703201753,1000.0,0.0
-114.2,11.962580089409736,1.1939504152105822,10.816899786796876,2.2820626698091293,1000.0,0.0
-113.6,13.049126603328908,1.4767680349030676,12.009623222968749,2.3644470817896317,1000.0,0.0
-113.0,14.4103548949595,1.6307571622600026,13.827801899296876,2.8993885038923555,1000.0,0.0
-112.4,15.781411310349824,1.767551058372934,14.9739219640625,2.939597609517993,1000.0,0.0
-111.8,17.199038006051065,1.9034832195398728,16.892239174609376,2.916076613146674,1000.0,0.0
-111.2,18.83282216011959,1.8566269340779633,18.1431075625,2.944911573441839,1000.0,0.0
-110.6,19.664166846471282,1.9380204867566935,19.3459487109375,2.6521069511690416,1000.0,0.0
-110.0,20.831164935967333,1.9963565934830128,20.473556748437503,2.305194872482423,1000.0,0.0
-109.4,22.374735835321776,1.5012066507174582,21.575646091406252,2.220127060383022,1000.0,0.0
-108.8,23.568096817584376,1.2526040749738896,22.65784897578125,1.922146609135721,1000.0,0.0
-108.2,24.166465859099734,1.2399832502571906,23.632983142187502,1.6705700533965702,1000.0,0.0
-107.6,25.094165489310548,0.7945142244777066,24.29715923671875,1.2645642467805889,1000.0,0.0
-107.0,25.793513333833204,0.6128757412267524,24.9289511140625,1.1629273613621587,1000.0,0.0
-106.4,26.380120452529326,0.5277013540405816,25.819202423437503,0.8610333802326626,1000.0,0.0
-105.8,26.512328196641484,2.2141504256554767,25.97170210390625,1.0613236203701972,1000.0,0.0
-105.2,27.229113738620363,0.3995174108614748,26.468785792187504,0.8381196390712586,1000.0,0.0
-104.6,27.561619336690626,0.3964033925377549,27.11253646171875,0.706931422408629,1000.0,0.0
-104.0,27.917782425279867,0.29991487662888244,27.309136272656247,0.6620683052788566,1000.0,0.0
-103.4,28.147021406245678,0.2957431309372086,27.544768215625,0.6170758888291167,1000.0,0.0
-102.8,28.332439542490945,0.27725238425220466,27.96846999453125,0.488489434162277,1000.0,0.0
-102.2,28.451240406383874,0.2821095925938368,28.14875606328125,0.40052937352420226,1000.0,0.0
-101.6,28.616902236925917,0.20520872632381934,28.2423551375,0.41249694118357116,1000.0,0.0
-101.0,28.670812412297394,0.1824654078450924,28.323028654687498,0.4186327111612628,1000.0,0.0
-100.4,28.696772718794357,0.1883156814212203,28.364917098437502,0.9079784238090031,1000.0,0.0
-99.8,28.72081024297666,0.16423388460651273,28.46806888359375,0.3272040366482432,1000.0,0.0
-99.2,28.71170212074579,0.1485252888169997,28.516062273437498,0.285216618408492,1000.0,0.0
-98.6,28.681838376708328,0.13754284712848788,28.49830852890625,0.24451538281877822,1000.0,0.0
-98.0,28.639681035141944,0.12457634925555042,28.457384899218752,0.24272972957215178,1000.0,0.0
-97.4,28.611258304326128,0.10603793533128235,28.46864433359375,0.2050967763978242,1000.0,0.0
-96.8,28.551165333383544,0.08837796005791913,28.414959057031247,0.19243603717034774,1000.0,0.0
-96.2,28.524892105274798,0.08282201441055263,28.390714449999997,0.19386848737452447,1000.0,0.0
-95.6,28.349266336109178,1.513529026350502,28.3349952421875,0.1738190640452989,1000.0,0.0
-95.0,28.379984551452225,0.1662646229477331,28.2955399625,0.15255081700917064,1000.0,0.0
